2020-06-11 05:01:23.741 --> new channel b'88fdf017cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:23.745 -x- closed channel b'88fdf017cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:24.359 --> new channel b'88fdf018cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:24.363 -x- closed channel b'88fdf018cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:25.621 --> new channel b'88fdf019cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:25.625 -x- closed channel b'88fdf019cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:26.211 --> new channel b'88fdf01acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:26.214 -x- closed channel b'88fdf01acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:27.825 --> new channel b'88fdf01bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:27.828 -x- closed channel b'88fdf01bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:28.861 --> new channel b'88fdf01ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:28.865 -x- closed channel b'88fdf01ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:30.197 --> new channel b'88fdf01dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:30.200 -x- closed channel b'88fdf01dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:30.319 --> new channel b'88fdf01ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:30.323 -x- closed channel b'88fdf01ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:30.565 --> new channel b'88fdf01fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:30.569 -x- closed channel b'88fdf01fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:31.028 --> new channel b'88fdf020cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:31.031 -x- closed channel b'88fdf020cf6c46d7b3825d2b731ef3ac'
