0,1,2,3,4,5,6,7,8
7,13,2,0,8,5,5,7,12
7,13,2,0,8,5,5,7,12
7,13,2,0,8,5,5,7,12
7,13,2,0,8,5,5,7,12
7,13,2,0,8,5,5,7,12
7,13,2,0,8,5,5,7,12
7,13,2,0,8,5,5,7,12
7,13,2,0,8,5,5,7,12
7,12,2,0,8,5,5,7,12
7,12,2,0,7,5,5,7,12
7,12,2,0,8,5,5,7,12
7,12,2,0,8,5,5,7,12
7,12,2,0,8,5,5,7,12
7,12,2,0,8,5,5,7,11
7,12,2,0,7,5,5,6,11
7,12,2,0,7,5,5,6,11
7,12,2,0,7,5,5,6,11
7,12,1,0,7,5,5,6,11
7,12,1,0,7,5,5,6,11
7,12,1,0,7,4,5,6,11
7,11,1,0,7,4,5,6,11
7,11,1,0,7,4,5,6,11
7,11,1,0,7,4,5,6,11
7,11,0,0,7,4,5,6,10
7,11,0,0,6,4,5,6,9
6,11,0,0,5,4,5,6,9
6,11,0,0,5,4,5,6,8
6,10,0,0,5,4,5,6,8
6,10,0,0,5,4,5,6,7
6,10,0,0,5,4,5,5,7
6,10,0,0,5,4,5,5,7
6,10,0,0,5,4,5,5,7
6,10,0,0,5,4,5,5,7
6,10,0,0,5,4,5,5,7
6,10,0,0,5,4,5,5,7
6,10,0,0,5,4,5,5,7
6,10,0,0,5,4,4,5,7
6,10,0,0,5,4,4,5,7
6,10,0,0,5,4,4,5,7
6,10,0,0,5,4,4,5,7
6,10,0,0,5,4,4,5,8
6,10,0,0,5,4,4,5,8
6,10,0,0,5,5,4,5,8
6,10,0,0,5,5,4,5,8
6,10,0,0,5,4,4,5,8
6,11,0,0,5,4,4,5,9
6,11,0,0,5,4,5,5,9
6,11,1,0,6,4,5,5,9
6,11,1,0,6,4,5,5,9
6,11,1,0,6,4,5,5,9
6,11,1,0,6,4,5,5,9
6,11,1,0,6,4,5,5,8
6,12,1,0,6,4,5,5,8
7,12,1,0,6,4,5,6,8
7,12,1,0,7,4,5,6,8
7,13,2,0,7,4,5,6,8
7,13,2,0,7,4,5,6,8
7,13,2,0,8,4,5,6,8
7,13,2,0,8,5,5,6,9
7,13,3,0,8,5,5,6,9
7,13,3,0,8,5,5,6,9
7,13,4,0,8,5,5,6,9
7,14,5,0,8,5,5,6,10
7,14,5,0,9,6,5,6,12
7,14,5,0,9,6,5,6,12
8,14,5,0,9,6,5,7,13
8,14,5,0,9,6,5,7,13
8,14,5,0,9,6,5,7,14
8,14,5,0,9,6,5,7,14
8,14,5,0,9,6,5,7,14
8,13,5,0,9,6,5,7,14
8,13,4,0,9,6,5,7,14
8,13,4,0,9,6,5,7,14
8,13,4,0,9,5,5,7,13
8,13,4,0,9,5,5,7,13
7,13,4,0,9,5,5,7,13
7,13,3,0,8,5,5,7,13
7,13,3,0,8,5,5,7,13
7,13,3,0,8,5,5,7,13
7,13,3,0,8,5,5,7,13
7,13,3,0,8,5,5,7,12
7,13,3,0,8,5,5,7,12
7,13,3,0,8,5,5,7,12
7,13,3,0,8,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,3,0,7,5,5,6,12
7,13,3,0,8,5,5,7,12
7,13,3,0,8,5,5,7,12
7,13,3,0,8,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,7,11
7,13,3,0,7,5,5,7,11
7,13,3,0,8,5,5,7,12
7,13,2,0,7,5,5,7,12
7,13,2,0,7,5,5,7,11
7,13,2,0,7,5,5,7,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,2,0,7,5,5,6,11
7,13,3,0,7,5,5,6,11
7,13,3,0,7,5,5,6,12
7,13,3,0,8,5,5,6,12
7,13,3,0,8,6,5,6,12
7,13,3,0,8,6,5,6,12
7,13,3,0,8,6,5,7,13
7,13,3,0,8,6,5,7,13
7,13,3,0,8,6,5,7,13
7,13,3,0,7,6,5,7,14
7,13,3,0,7,6,5,7,14
8,13,3,0,7,6,5,7,15
8,13,3,0,7,6,5,7,15
8,13,3,0,7,6,5,7,16
8,13,3,0,7,5,5,7,15
8,13,3,0,7,5,5,7,15
8,13,3,0,7,5,5,7,15
8,13,3,0,7,5,5,7,15
8,13,3,0,7,5,5,7,15
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,3,0,7,5,5,7,14
8,13,4,0,7,5,5,7,15
8,13,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,13,3,0,7,5,5,7,15
8,13,3,0,7,5,5,7,15
8,13,3,0,7,5,5,7,15
8,14,3,0,7,5,5,7,15
8,14,3,0,7,5,5,7,15
8,14,3,0,8,5,5,7,15
8,14,3,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,15
8,14,4,0,8,5,5,7,14
8,14,4,0,8,5,5,7,14
8,14,4,0,8,5,5,7,14
8,14,4,0,8,5,5,7,14
8,14,4,0,8,5,5,7,14
8,14,4,0,8,5,5,7,14
8,14,5,0,9,5,5,7,14
8,14,5,0,9,5,5,7,14
8,14,5,0,9,5,5,7,14
8,15,5,0,9,5,5,7,14
8,15,5,0,9,5,6,8,15
8,15,5,0,9,5,6,8,15
8,15,5,0,9,5,5,7,15
8,15,5,0,9,5,5,7,15
8,15,5,0,9,5,5,7,15
8,15,5,0,8,5,5,7,14
8,15,5,0,8,5,5,7,14
8,15,5,0,8,5,5,7,14
8,15,5,0,8,5,5,7,14
8,15,5,0,8,5,5,7,15
8,15,5,0,8,5,5,7,15
8,15,6,0,8,5,5,7,15
8,15,6,0,9,5,5,7,15
8,15,6,0,9,5,5,7,15
8,15,6,0,9,5,5,7,15
8,15,6,0,9,5,5,7,15
8,15,6,0,9,5,5,7,15
8,15,6,0,9,5,5,7,15
8,15,7,0,9,5,5,7,15
8,15,7,0,9,5,5,7,15
8,15,7,0,9,5,5,7,15
8,15,8,0,9,5,5,7,14
8,15,8,0,10,5,5,8,14
8,16,8,0,11,5,5,8,14
8,16,9,0,11,5,6,8,14
8,16,9,0,12,5,6,8,14
8,16,9,0,12,5,6,8,14
8,16,9,0,12,5,6,8,14
8,16,9,0,11,5,6,8,14
8,16,9,0,11,5,6,8,14
8,16,9,0,12,5,6,8,14
9,16,10,0,12,5,6,8,14
9,16,10,0,12,5,6,8,14
9,16,11,0,13,5,6,8,14
9,17,11,0,13,5,6,8,14
9,17,11,0,13,5,6,8,14
9,17,12,0,13,5,6,8,15
9,17,12,1,14,5,6,8,15
9,17,14,1,16,6,6,8,15
9,17,14,1,16,6,6,8,15
9,17,15,1,17,6,6,8,15
9,18,16,1,17,6,6,8,16
9,18,16,1,17,6,6,8,16
9,18,16,1,17,6,6,8,16
9,18,16,1,17,7,6,8,17
9,18,17,1,18,7,6,8,17
10,18,17,1,18,7,6,8,17
10,18,17,1,18,8,6,9,17
10,18,18,1,18,8,6,9,18
10,18,18,1,18,8,6,9,19
10,18,18,1,19,8,6,9,19
10,19,18,1,19,8,6,9,19
10,19,19,2,19,9,6,9,19
10,19,19,2,19,9,6,9,19
10,19,19,2,19,9,6,9,20
10,18,18,1,19,9,6,9,20
10,18,18,1,19,9,6,9,19
10,18,18,1,19,8,6,9,19
10,18,18,1,19,8,6,9,19
10,18,18,1,19,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,19,2,20,8,6,9,20
10,19,19,2,20,8,6,9,20
10,19,19,2,20,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,18,2,20,8,6,9,19
10,19,18,2,20,8,6,9,19
10,19,18,2,20,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,19,2,20,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,19
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,6,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,19,2,21,8,7,9,18
10,19,20,2,21,8,7,9,18
10,19,20,2,21,8,7,10,18
