11,26,28,0,0,8,9,9,14
5,16,35,4,-5,9,6,5,10
10,26,33,1,0,7,9,8,14
-2,12,35,18,-5,4,2,-1,8
6,17,39,34,-3,11,6,7,13
12,29,36,1,0,8,9,11,13
13,32,31,-1,0,5,12,14,2
12,34,43,12,-1,3,13,13,1
10,26,30,0,0,7,10,8,13
2,11,31,20,-10,4,4,2,4
7,17,38,23,-5,11,7,7,13
7,24,41,27,0,7,7,3,14
12,30,41,13,-1,8,9,10,14
9,26,40,20,0,8,8,5,15
11,25,28,0,1,7,9,9,14
5,16,38,21,-5,10,6,5,11
7,17,38,18,-6,10,7,7,12
1,16,36,14,0,9,3,-2,14
12,34,40,2,-1,2,13,13,0
6,22,33,1,1,6,5,3,11
3,10,32,33,11,5,2,3,7
8,24,41,28,1,8,7,4,15
2,11,28,2,-10,3,4,2,4
10,25,31,1,-1,10,8,9,11
13,30,44,35,1,11,11,11,20
11,32,37,0,-1,3,12,12,-1
12,33,43,19,-1,3,13,12,1
-1,12,30,1,-1,6,1,-5,12
-1,12,34,9,-5,4,2,-1,7
7,17,38,23,-5,11,7,7,13
10,32,40,8,-1,0,11,10,-2
11,33,42,17,-1,4,12,12,1
7,19,15,0,15,8,5,4,10
11,33,43,22,-1,1,12,11,-1
13,35,45,36,10,5,14,13,3
10,26,33,1,0,7,9,8,14
10,24,20,0,0,9,7,8,10
11,27,36,1,-1,10,8,10,12
10,25,27,0,0,7,9,8,13
7,18,40,30,-5,12,7,7,14
9,30,35,0,-1,-1,10,10,-3
12,33,42,15,-1,4,12,12,0
-2,12,35,17,-5,4,2,-1,7
2,12,27,1,-5,6,4,2,5
6,16,34,2,-5,9,6,7,11
1,16,36,16,0,10,3,-2,14
0,15,35,7,-1,7,2,-3,12
2,12,31,2,-4,6,4,2,6
5,15,35,41,22,7,7,6,7
7,18,38,24,-5,11,7,7,13
12,34,44,32,2,5,13,12,2
8,23,30,1,7,9,7,6,12
12,34,45,34,7,5,14,13,3
3,12,33,25,-9,4,5,3,4
6,16,35,2,-6,9,7,7,11
0,15,36,13,-1,7,2,-3,13
10,32,40,10,-1,0,11,10,-2
10,32,40,8,-1,0,11,10,-2
5,14,35,37,13,7,7,5,7
3,13,36,43,28,6,6,4,6
-2,12,35,19,-5,4,2,-2,7
10,31,37,1,-1,0,10,10,-3
5,22,32,1,1,6,5,3,10
4,14,35,39,18,6,7,4,6
14,33,34,0,-1,5,13,14,2
9,26,34,1,0,8,8,7,13
-1,12,34,15,0,7,0,-6,13
7,24,39,18,0,7,7,3,14
7,23,28,0,1,7,7,5,10
3,14,37,26,-5,8,4,3,8
12,29,35,1,0,6,9,11,13
10,28,41,12,-1,9,8,8,15
12,34,46,41,25,6,13,12,4
6,16,36,11,-5,10,6,6,12
9,27,41,13,-1,8,8,7,15
5,16,38,23,-5,10,6,5,12
3,12,31,13,-10,4,5,3,4
8,24,34,1,0,8,7,5,11
2,13,35,12,-4,7,4,2,7
9,25,26,0,0,6,9,7,12
-2,12,35,19,-5,4,2,-1,6
14,34,40,2,-1,5,13,15,4
9,26,41,29,1,9,8,5,16
12,34,42,11,-1,3,13,13,0
8,23,26,1,8,8,7,5,12
3,14,36,23,-2,7,5,3,7
12,29,36,1,0,8,9,11,12
2,13,33,6,-4,6,4,2,7
13,31,41,5,-1,8,10,12,13
12,29,34,1,0,8,9,11,13
12,34,43,17,-1,3,13,13,0
-2,12,34,9,-5,4,2,-1,7
-1,14,34,7,0,7,2,-3,12
3,13,34,36,15,5,6,3,5
5,16,37,14,-5,10,6,6,11
6,17,38,18,-5,10,7,6,12
10,25,28,0,-1,10,7,8,13
9,23,17,0,0,8,7,8,8
12,34,43,17,-1,4,12,13,1
4,12,31,23,-7,5,5,3,5
-1,13,34,10,-1,7,1,-5,12
2,11,30,7,-10,3,5,2,2
6,16,36,16,-5,10,6,6,12
-1,14,33,2,-1,6,2,-3,12
12,34,44,23,-1,4,13,13,1
-1,12,34,7,-5,4,2,0,7
1,9,30,21,-10,3,1,1,6
3,13,34,12,-5,6,4,3,7
5,14,35,36,10,7,7,5,7
11,28,34,1,0,6,9,10,13
12,34,43,16,-1,4,13,13,1
12,33,39,0,-1,2,13,13,-1
12,34,43,27,0,3,13,12,1
6,16,38,21,-5,10,6,6,12
7,18,40,30,-5,12,7,7,14
7,18,40,30,-5,12,7,7,14
10,32,40,9,-1,0,11,10,-2
10,32,41,17,-1,0,11,10,-2
3,13,34,34,14,5,6,3,5
2,11,33,28,1,4,4,2,5
12,34,43,17,-1,4,13,13,1
12,34,44,24,-1,4,13,13,2
5,22,31,1,1,5,5,3,10
12,30,40,6,0,8,10,11,13
13,29,41,14,-1,10,11,11,18
3,12,34,35,9,5,5,3,5
10,32,40,8,-1,0,11,11,-3
1,8,7,0,-4,4,3,2,2
12,28,30,0,0,8,9,11,13
13,32,28,-1,0,5,12,14,2
5,21,31,1,1,5,4,3,10
5,14,34,36,10,6,6,4,6
5,16,34,2,-5,10,6,5,10
7,19,1,0,1,6,7,6,8
-2,12,35,17,-5,4,2,-1,7
5,16,36,8,-5,9,6,5,11
7,23,34,1,1,8,6,4,10
12,28,34,1,0,8,9,10,13
-1,12,36,18,-5,5,2,0,8
12,34,44,29,0,3,13,12,1
12,29,41,11,-1,11,11,10,17
10,24,21,0,0,7,10,8,13
12,33,42,12,0,4,13,12,0
8,23,27,1,11,9,7,5,12
12,34,43,18,-1,3,13,13,0
6,16,38,19,-5,10,6,6,12
9,23,13,0,0,7,8,8,12
2,7,18,1,-8,4,2,0,0
2,10,33,36,10,4,1,2,7
7,17,38,22,-5,11,7,7,13
-2,12,35,18,-5,4,2,-2,7
9,23,17,0,2,7,8,8,12
12,34,45,33,5,5,13,12,2
13,30,43,21,-1,11,11,11,19
11,26,30,0,0,8,10,9,14
12,33,42,15,-1,4,12,12,0
2,11,33,27,-6,4,5,2,4
15,35,43,16,-2,6,13,15,5
3,13,35,38,10,5,5,3,6
7,18,40,30,-5,12,7,7,14
2,11,31,16,-9,4,4,2,4
1,9,30,18,-10,3,1,1,5
14,34,40,1,-1,5,13,15,4
12,29,35,1,0,7,9,11,14
4,13,31,20,-9,6,6,4,5
1,11,31,15,-10,3,4,1,2
10,31,38,2,-1,0,10,10,-2
8,25,41,29,0,9,8,4,15
5,15,37,51,46,8,7,6,9
0,14,35,15,-1,8,1,-4,14
13,32,33,0,0,5,12,14,2
10,26,28,0,0,8,10,9,13
5,16,38,18,-5,10,6,5,11
11,34,44,29,3,1,12,11,1
-1,13,34,12,-1,7,1,-5,12
10,27,38,2,-1,10,8,9,13
12,34,42,9,-1,2,13,13,0
8,21,10,0,1,6,8,7,10
-2,11,35,21,-5,4,1,-2,7
5,16,38,21,-5,10,6,5,11
10,25,31,0,-1,10,8,9,11
2,12,26,1,-5,6,4,2,5
12,34,43,23,-1,3,12,12,0
9,27,38,2,-1,8,8,8,14
12,30,40,6,0,8,9,11,13
13,32,31,-1,0,5,12,14,2
3,15,39,35,2,9,5,3,9
3,12,32,19,-10,4,5,3,4
5,16,37,21,-5,10,6,5,11
12,34,44,28,-1,5,13,12,2
13,30,37,1,0,8,10,12,14
11,29,41,15,0,10,11,10,17
7,18,40,31,-5,12,7,7,14
7,18,38,15,-6,10,7,8,13
6,20,14,0,6,8,6,4,9
-2,12,35,18,-5,4,2,-1,8
12,30,38,2,0,7,10,11,13
11,27,36,1,0,8,10,9,15
-2,12,30,1,-1,6,1,-5,12
7,18,40,30,-5,12,7,7,14
9,24,27,0,0,6,9,7,11
2,14,37,27,-4,8,5,3,9
12,30,39,2,0,7,10,11,13
15,35,41,3,-1,5,13,15,4
11,33,42,16,-1,3,12,12,0
5,15,35,40,17,7,7,5,7
-1,12,34,15,0,7,0,-6,13
2,13,36,27,2,7,4,2,7
13,30,43,30,0,11,11,10,18
8,25,39,9,0,9,7,5,12
5,16,37,16,-5,9,6,5,11
-1,12,34,11,-1,7,0,-5,12
9,26,41,26,0,9,8,5,15
13,30,37,1,0,8,10,12,12
-2,12,35,14,-5,4,2,-1,6
10,26,27,0,0,7,9,8,13
12,30,38,2,-1,7,10,11,13
11,27,34,0,0,9,10,10,15
9,27,41,14,-1,8,8,7,15
13,31,43,18,-1,8,10,12,14
11,29,37,1,0,7,9,11,13
12,34,43,27,1,5,13,12,2
10,27,38,3,0,9,8,8,14
13,35,46,39,17,6,14,13,3
12,29,36,1,0,7,9,11,12
14,33,36,0,-1,5,13,14,3
5,16,37,23,-5,10,6,5,11
5,16,38,28,-4,10,6,5,12
10,32,40,9,-1,0,11,10,-2
13,30,43,30,0,11,11,11,19
5,13,33,26,-8,6,6,4,6
10,25,32,1,-1,10,8,9,11
0,15,36,11,-1,8,3,-3,12
12,29,15,-1,0,4,11,13,1
7,18,39,32,-4,11,7,7,14
14,34,41,5,-1,5,13,15,5
3,14,34,14,-4,7,4,3,7
5,14,35,39,20,7,7,4,6
3,14,37,26,-3,8,5,3,8
8,22,25,1,10,8,6,5,12
11,32,37,0,-1,3,12,12,-1
4,14,35,39,21,7,7,4,7
7,24,40,27,0,7,7,3,14
-1,12,30,1,-1,6,1,-5,12
2,17,37,19,0,10,4,-1,15
11,33,43,24,-1,1,12,11,0
1,11,31,16,-10,3,4,1,3
3,11,25,1,-10,4,4,3,3
3,13,34,10,-5,6,4,3,7
14,34,40,1,-1,5,13,15,3
9,26,41,26,1,9,8,5,15
2,12,33,28,-10,3,5,2,4
11,34,44,28,0,1,12,11,0
0,14,35,17,-1,8,1,-4,14
-2,12,35,17,-5,4,2,-1,7
-2,12,35,18,-5,4,2,-1,8
13,31,39,1,0,8,10,12,13
0,14,35,16,0,8,1,-4,14
9,23,31,1,5,10,7,6,14
10,23,12,0,2,8,9,8,13
1,16,36,18,0,8,3,-2,14
-1,12,33,9,-1,6,0,-5,12
10,32,42,20,-1,0,11,10,-2
10,25,27,0,0,9,7,9,11
8,23,28,1,9,9,7,6,13
5,16,37,12,-5,9,6,6,11
7,17,38,21,-5,11,7,7,13
10,32,40,13,-1,0,11,10,-2
12,29,37,1,0,8,9,11,13
15,35,43,10,-1,6,13,15,5
3,14,35,11,-5,7,5,3,8
5,16,38,22,-5,10,6,5,12
8,24,32,1,1,8,7,5,11
13,30,38,1,0,8,10,12,14
7,17,38,17,-5,11,7,7,13
8,25,40,17,-1,8,7,4,15
12,34,43,17,-1,3,13,13,0
1,9,32,31,-4,3,1,2,6
5,16,39,31,-4,10,6,5,12
10,28,40,8,0,9,8,8,15
8,23,14,0,1,6,8,7,10
11,33,43,25,-1,1,12,11,0
0,13,35,16,0,7,1,-5,13
10,31,40,5,-1,0,11,10,-2
5,15,36,13,-5,9,6,5,11
11,28,39,1,0,9,10,9,15
12,29,38,1,0,7,9,11,13
7,17,39,24,-5,11,7,7,13
7,18,40,37,0,12,7,8,14
5,15,34,33,0,7,7,6,7
6,22,30,1,1,5,5,3,10
5,16,38,21,-5,10,6,5,11
4,13,33,27,-5,6,6,4,5
13,30,38,1,0,8,10,12,13
12,30,41,11,-1,8,10,11,14
2,13,34,32,-9,4,5,2,4
-1,12,34,10,-1,6,0,-6,13
13,31,41,8,-1,8,10,12,13
10,28,40,8,0,9,9,8,15
0,13,35,19,0,8,1,-5,14
12,34,44,27,0,5,13,12,2
12,30,41,8,0,8,10,11,13
3,13,36,43,26,6,6,4,6
10,32,41,17,-1,0,11,10,-2
13,30,42,20,0,11,11,11,18
9,27,40,10,-1,8,8,8,15
1,11,32,20,-10,3,4,1,3
14,33,35,0,-1,5,13,14,3
12,30,39,1,0,8,10,12,13
2,16,37,21,0,11,3,-1,16
2,10,31,29,1,5,2,3,7
3,12,33,27,-8,5,5,3,4
11,33,41,13,-1,4,12,12,0
10,28,41,15,0,9,10,9,14
-2,12,37,32,-4,6,3,-1,10
1,10,31,14,-10,3,4,1,3
-2,12,35,14,-5,4,2,-1,6
13,34,44,20,-1,3,13,13,1
3,14,35,9,-5,7,5,3,8
10,32,41,14,-1,0,11,10,-2
10,31,37,1,-1,-1,11,10,-3
11,33,43,15,-1,0,12,11,-1
6,16,34,1,-6,8,6,7,11
14,34,37,0,-1,5,13,15,3
-2,11,34,12,-5,4,2,-1,7
12,34,42,13,-1,3,13,13,0
3,13,35,39,21,6,6,3,6
13,30,36,1,0,8,10,12,15
3,10,30,18,-9,5,2,4,7
1,7,5,0,-3,4,2,1,1
11,32,37,0,-1,3,12,12,-1
10,25,30,0,-1,10,7,8,11
13,31,40,2,0,9,10,12,14
7,20,11,0,5,8,6,5,11
7,18,39,28,-5,12,7,7,13
-1,12,34,6,-5,4,2,0,7
5,16,38,25,-5,10,6,5,12
13,30,43,29,0,11,11,10,17
0,15,36,17,0,8,3,-3,14
9,25,36,1,1,9,7,6,12
2,12,28,1,-4,6,4,2,5
12,29,41,17,-1,10,11,10,18
7,18,39,26,-5,11,7,7,13
11,32,34,0,-1,-1,12,11,-4
12,30,39,2,0,8,10,11,14
7,18,39,27,-5,12,7,7,14
2,9,27,4,-10,3,2,2,3
