11,28,43,43,39,12,7,6,21
19,36,50,56,60,18,16,17,29
7,18,42,50,39,14,7,7,16
11,29,44,42,33,13,9,9,16
17,30,40,48,54,8,24,17,8
3,16,39,46,43,12,4,1,20
17,31,40,46,46,7,23,17,8
15,29,35,31,10,6,21,15,6
13,30,45,36,3,13,10,9,23
14,31,46,43,22,14,11,10,24
17,35,49,52,51,17,15,16,25
17,31,41,49,54,7,24,17,8
17,31,40,48,51,7,24,17,8
16,30,38,41,36,7,23,16,7
15,29,37,40,31,3,22,15,6
3,16,38,43,35,11,4,1,20
11,28,43,32,0,12,8,9,15
12,34,45,36,17,2,12,12,2
18,35,49,53,54,16,16,16,27
13,35,47,48,44,6,14,13,6
14,33,47,48,45,13,11,12,21
17,31,40,47,49,7,23,17,8
14,31,47,53,55,14,13,11,23
13,36,47,46,37,5,14,14,5
21,37,50,57,63,19,13,17,34
14,36,47,50,47,5,14,14,5
12,34,45,39,22,3,12,12,3
13,37,49,54,57,7,15,15,7
18,36,51,57,60,21,16,15,25
16,30,39,46,48,7,23,16,8
12,31,46,52,54,14,12,9,21
14,32,46,45,33,13,13,13,22
12,34,44,35,19,6,12,13,3
5,22,44,54,59,17,8,0,26
14,36,48,50,46,6,15,14,5
17,31,39,44,42,7,23,16,7
13,36,48,49,46,6,14,14,5
16,30,39,46,49,6,23,16,8
21,37,50,57,63,20,14,17,34
16,30,38,41,35,7,23,16,7
13,35,47,47,41,5,13,13,5
12,34,44,36,13,5,12,12,4
17,30,38,43,39,7,23,17,7
16,35,50,56,58,19,15,15,24
16,30,36,36,22,6,22,16,6
19,32,40,46,48,10,24,19,11
14,33,46,45,36,12,11,12,20
3,18,39,25,-5,6,6,2,11
13,31,46,48,45,13,12,11,22
2,17,39,46,44,12,5,0,21
10,31,48,52,51,16,12,7,19
12,32,48,53,50,14,12,12,21
16,30,37,38,25,6,22,16,7
12,34,44,31,2,5,12,12,3
14,32,46,45,35,13,13,12,22
16,32,46,46,40,15,12,12,26
18,32,48,57,64,25,15,14,33
17,31,41,49,54,7,24,17,9
18,35,49,53,54,16,16,16,26
0,17,36,9,0,10,5,-3,14
17,34,47,47,40,15,15,15,25
16,31,48,57,63,23,14,15,33
16,30,39,47,49,6,23,16,8
7,18,41,48,37,14,8,7,16
17,35,48,48,39,16,15,16,24
12,30,43,33,9,13,12,10,17
14,32,47,53,56,15,14,12,22
18,31,38,41,36,9,23,18,9
14,37,48,52,52,7,15,15,6
13,32,48,51,44,15,12,12,20
13,31,46,47,41,14,13,11,20
17,35,48,49,42,16,15,16,24
16,30,38,41,37,7,23,16,7
17,31,41,50,55,7,24,17,9
1,17,39,47,45,12,5,-1,21
16,30,39,46,47,7,23,17,7
14,31,45,42,24,12,12,12,21
2,16,38,40,27,10,4,0,18
20,33,42,51,58,11,25,20,12
18,35,49,51,50,16,16,16,26
16,30,39,43,39,6,23,16,7
8,18,41,47,38,14,8,8,17
17,30,39,44,43,7,23,17,7
12,34,45,42,32,5,13,12,4
16,30,38,44,42,4,22,16,7
12,31,46,52,54,14,12,10,21
12,32,48,53,50,15,12,12,21
14,32,46,46,37,13,13,12,22
16,30,38,42,37,7,23,16,7
11,29,45,45,36,10,11,9,18
-1,16,37,43,38,9,3,-2,19
15,32,47,53,56,14,9,11,27
1,20,42,44,32,14,6,-2,22
16,30,38,41,32,4,22,16,6
18,35,49,50,47,16,16,16,26
10,30,45,38,20,13,11,7,18
12,35,47,46,38,5,14,13,5
15,29,36,38,26,4,21,16,6
18,36,49,53,53,17,16,17,27
13,37,49,54,56,7,15,15,7
17,35,49,53,53,16,15,16,26
17,32,48,57,64,25,15,14,33
17,35,49,52,53,16,15,16,26
16,30,39,46,46,4,23,16,7
18,30,49,58,59,20,14,18,29
17,31,39,45,43,7,23,17,8
13,36,47,46,39,4,13,13,3
13,30,45,48,42,12,8,10,26
14,33,46,41,21,12,11,12,20
12,30,46,51,50,14,12,9,21
15,29,37,39,28,3,21,15,6
2,20,42,45,31,15,6,-2,20
14,36,48,45,30,6,15,15,4
13,32,47,48,41,15,14,12,19
8,19,42,50,41,14,8,8,17
3,16,30,1,-4,4,5,3,9
15,29,37,39,29,3,22,15,6
19,32,39,45,46,10,24,19,10
