0,1,2,3,4,5,6,7,8
2,6,16,1,3,3,0,2,5
2,6,16,1,3,3,0,2,5
2,6,16,1,3,3,0,2,5
2,6,16,1,3,3,0,2,5
2,6,16,1,3,3,0,2,5
2,6,16,1,3,3,0,2,5
2,6,16,1,3,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,3,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,15,1,2,3,0,2,5
2,5,15,1,2,3,0,2,5
2,5,15,1,2,3,0,2,5
2,5,15,1,2,3,0,2,5
2,5,15,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,2,3,0,2,5
2,5,16,1,1,3,0,2,5
2,5,16,1,1,3,0,2,5
2,5,16,1,1,3,0,2,5
2,5,16,1,1,3,0,2,5
2,5,16,1,1,3,0,2,5
2,5,15,1,1,3,0,2,5
2,5,15,1,1,3,0,2,5
2,5,15,1,1,3,0,2,5
2,5,15,1,2,3,0,2,5
2,5,15,1,2,3,0,2,5
2,5,15,1,1,3,0,2,5
2,5,14,1,1,3,0,2,5
2,5,14,1,1,3,0,1,4
2,5,14,1,1,3,0,1,4
2,5,14,1,1,3,0,2,4
2,5,14,1,1,3,0,2,4
1,5,13,1,1,3,0,2,4
1,5,13,1,1,2,0,1,4
1,5,13,1,1,2,0,1,4
2,5,13,1,1,2,0,1,4
2,5,13,1,1,3,0,1,4
2,5,13,1,1,3,0,1,4
2,5,13,1,1,3,0,1,4
2,5,13,1,1,3,0,1,4
1,5,13,1,1,3,0,1,4
1,5,13,1,1,2,0,1,4
1,5,13,1,1,2,0,1,4
1,5,13,1,1,2,0,1,4
2,5,13,1,1,2,0,1,4
2,5,13,1,1,3,0,1,4
1,5,13,1,1,2,0,1,4
1,5,13,1,1,2,0,1,4
1,5,13,1,1,2,0,1,4
2,5,13,1,1,2,0,1,4
1,5,13,1,1,3,0,1,4
1,5,13,1,1,3,0,1,4
1,5,13,1,1,2,-1,1,4
1,5,12,1,1,2,-1,1,4
1,4,12,0,1,2,-1,1,4
1,4,12,0,2,2,0,1,4
1,5,11,0,2,2,0,1,4
1,4,11,0,2,2,0,1,4
1,4,11,0,2,2,0,1,4
1,4,11,0,2,2,0,1,4
1,4,11,0,2,2,0,1,4
1,4,10,0,2,2,0,1,4
1,4,10,0,2,2,0,1,4
1,4,10,0,2,2,0,1,4
1,4,9,0,2,2,0,1,4
1,4,9,0,2,2,0,1,4
1,4,8,0,2,2,0,1,4
1,4,8,0,2,2,0,1,4
1,4,7,0,2,2,0,1,4
1,3,6,0,2,2,0,1,4
